domain,ip,http_status,http_title,whois_info,source_file
sftp.sdcc.bnl.gov,198.125.209.29,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
sftp.sdcc.bnl.gov,198.125.209.28,,,CIDR:           198.124.0.0/14; NetName:        ESNET-CIDR-A; OriginAS:; Organization:   ESnet (ENSN-Z); CIDR:           198.125.208.0/20; NetName:        BNLSCIDMZ; Parent:         ESNET-CIDR-A (NET-198-124-0-0-1); OriginAS:; Organization:   Brookhaven National Laboratory (BNL),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
admingw01.sdcc.bnl.gov,130.199.57.10,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
sftp2-ext.nsls2.bnl.gov,192.203.218.84,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
vdi.nsls2.bnl.gov,192.203.218.37,200,Omnissa Horizon,CIDR:           192.203.218.0/24; NetName:        CTRLLAB; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
vdi.nsls2.bnl.gov,192.203.218.38,200,Omnissa Horizon,CIDR:           192.203.218.0/24; NetName:        CTRLLAB; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
epics.nsls2.bnl.gov,130.199.3.23,503,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
bldiracvm08.sdcc.bnl.gov,192.33.128.35,,,CIDR:           192.33.128.0/24; NetName:        BNL-AGS; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
130-199-251-9.nat.bnl.gov,130.199.251.9,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
rev-cache4.bnl.gov,130.199.3.60,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
hsrp.s3.bnl.gov,130.199.3.24,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
presidio-2.bnl.gov,130.199.129.90,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
frontier-cache.sdcc.bnl.gov,192.12.15.248,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
frontier-cache.sdcc.bnl.gov,192.12.15.247,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
