domain,dnssec,spf,dkim,dmarc
belle2db.sdcc.bnl.de,False,v=spf1 ip6:fdcf:abda:4154::/48 -all,default._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; selector1._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; google._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all,v=spf1 ip6:fdcf:abda:4154::/48 -all
belle2db.sdcc.bnl.us,False,v=spf1 ip6:fdcf:abda:4154::/48 -all,default._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; selector1._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; google._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all,v=spf1 ip6:fdcf:abda:4154::/48 -all
belleii-ddm-rucio.sdcc.bnl.net,False,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all;google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y,default._domainkey:google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all; selector1._domainkey:v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all;google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y; google._domainkey:google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all
belleii-ddm-rucio.sdcc.bnl.gov,False,,,
beamer.em.bnl.icu,False,,,
belle2db-files.sdcc.bnl.in,False,,,
beamer.em.bnl.ru,False,,,
belleii-ddm-rucio.sdcc.bnl.de,False,v=spf1 ip6:fdcf:abda:4154::/48 -all,default._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; selector1._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; google._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all,v=spf1 ip6:fdcf:abda:4154::/48 -all
belleii-ddm-rucio01-vrrp.sdcc.bnl.gov,False,,,
belleii-ddm-rucio.sdcc.bnl.uk,False,,,
belleii-ddm-rucio01-vrrp.sdcc.bnl.net,False,google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,default._domainkey:google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all; selector1._domainkey:google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all; google._domainkey:v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all;google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y,google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all
belleii-ddm-rucio.sdcc.bnl.us,False,v=spf1 ip6:fdcf:abda:4154::/48 -all,default._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; selector1._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; google._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all,v=spf1 ip6:fdcf:abda:4154::/48 -all
belle2db-files.sdcc.bnl.ru,False,,,
beamer.em.bnl.cn,False,,,
belle2db-files.sdcc.bnl.cn,False,,,
belleii-ddm-rucio01-vrrp.sdcc.bnl.uk,False,,,
belle2db.sdcc.bnl.in,False,,,
belleii-ddm-rucio01.sdcc.bnl.net,False,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all;google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y,default._domainkey:google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all; selector1._domainkey:google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all; google._domainkey:google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all;google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y
belle2db-files.sdcc.bnl.icu,False,,,
belleii-ddm-rucio01.sdcc.bnl.gov,False,,,
belle2db.sdcc.bnl.icu,False,,,
belleii-ddm-rucio01-vrrp.sdcc.bnl.us,False,v=spf1 ip6:fdcf:abda:4154::/48 -all,default._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; selector1._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; google._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all,v=spf1 ip6:fdcf:abda:4154::/48 -all
belleii-ddm-rucio01-vrrp.sdcc.bnl.de,False,v=spf1 ip6:fdcf:abda:4154::/48 -all,default._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; selector1._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; google._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all,v=spf1 ip6:fdcf:abda:4154::/48 -all
belle2db.sdcc.bnl.ru,False,,,
belle2db.sdcc.bnl.cn,False,,,
belleii-ddm-rucio.sdcc.bnl.in,False,,,
belleii-ddm-rucio01.sdcc.bnl.de,False,v=spf1 ip6:fdcf:abda:4154::/48 -all,default._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; selector1._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; google._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all,v=spf1 ip6:fdcf:abda:4154::/48 -all
belleii-ddm-rucio02-vrrp.sdcc.bnl.net,False,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all;google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y,default._domainkey:v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all;google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y; selector1._domainkey:v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all;google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y; google._domainkey:v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all;google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all;google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y
belleii-ddm-rucio01.sdcc.bnl.uk,False,,,
belleii-ddm-rucio02-vrrp.sdcc.bnl.gov,False,,,
belleii-ddm-rucio01-vrrp.sdcc.bnl.in,False,,,
belleii-ddm-rucio01.sdcc.bnl.us,False,v=spf1 ip6:fdcf:abda:4154::/48 -all,default._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; selector1._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; google._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all,v=spf1 ip6:fdcf:abda:4154::/48 -all
belleii-ddm-rucio.sdcc.bnl.icu,False,,,
belleii-ddm-rucio.sdcc.bnl.cn,False,,,
belleii-ddm-rucio.sdcc.bnl.ru,False,,,
belleii-ddm-rucio02-vrrp.sdcc.bnl.de,False,v=spf1 ip6:fdcf:abda:4154::/48 -all,default._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; selector1._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; google._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all,v=spf1 ip6:fdcf:abda:4154::/48 -all
belleii-ddm-rucio02-vrrp.sdcc.bnl.uk,False,,,
belleii-ddm-rucio01-vrrp.sdcc.bnl.cn,False,,,
belleii-ddm-rucio02-vrrp.sdcc.bnl.us,False,v=spf1 ip6:fdcf:abda:4154::/48 -all,default._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; selector1._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; google._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all,v=spf1 ip6:fdcf:abda:4154::/48 -all
belleii-ddm-rucio02.sdcc.bnl.net,False,google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,default._domainkey:google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all; selector1._domainkey:google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all; google._domainkey:google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all
belleii-ddm-rucio01-vrrp.sdcc.bnl.icu,False,,,
belleii-ddm-rucio02.sdcc.bnl.gov,False,,,
belleii-ddm-rucio01-vrrp.sdcc.bnl.ru,False,,,
belleii-ddm-rucio01.sdcc.bnl.in,False,,,
belleii-ddm-rucio02.sdcc.bnl.uk,False,,,
belleii-ddm-rucio02.sdcc.bnl.de,False,v=spf1 ip6:fdcf:abda:4154::/48 -all,default._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; selector1._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; google._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all,v=spf1 ip6:fdcf:abda:4154::/48 -all
belleii-ddm-rucio02.sdcc.bnl.us,False,v=spf1 ip6:fdcf:abda:4154::/48 -all,default._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; selector1._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; google._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all,v=spf1 ip6:fdcf:abda:4154::/48 -all
bera.bnl.net,False,google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,default._domainkey:v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all;google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y; selector1._domainkey:google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all; google._domainkey:google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,google-site-verification=gkeptUUMuBrx3kEK5EMrUafj5jJzahoEZY0EZKPxa0Y;v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all
bera.bnl.de,False,v=spf1 ip6:fdcf:abda:4154::/48 -all,default._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; selector1._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all; google._domainkey:v=spf1 ip6:fdcf:abda:4154::/48 -all,v=spf1 ip6:fdcf:abda:4154::/48 -all
bera.bnl.gov,False,,,
belleii-ddm-rucio01.sdcc.bnl.icu,False,,,
