Domain,IP,Status
130-199-251-6.nat.bnl.de,103.224.182.245,Active
130-199-251-6.nat.bnl.net,64.237.52.187,Active
130-199-251-6.nat.bnl.uk,"13.248.169.48, 76.223.54.146",Active
130-199-251-6.nat.bnl.icu,"47.76.127.217, 47.91.170.222, 8.218.208.240",Active
130-199-251-6.nat.bnl.cn,170.33.12.185,Active
130-199-251-6.nat.bnl.us,103.224.182.238,Active
130-199-251-6.nat.bnl.in,86.111.242.221,Active
130-199-251-6.nat.bnl.ru,45.130.41.107,Active
130-199-251-7.nat.bnl.gov,130.199.251.7,Active
130-199-251-7.nat.bnl.de,103.224.182.245,Active
130-199-251-7.nat.bnl.net,64.237.52.187,Active
130-199-251-7.nat.bnl.cn,170.33.12.185,Active
130-199-251-7.nat.bnl.icu,"47.91.170.222, 47.76.127.217, 8.218.208.240",Active
130-199-251-7.nat.bnl.uk,"13.248.169.48, 76.223.54.146",Active
130-199-251-7.nat.bnl.us,103.224.182.238,Active
130-199-251-7.nat.bnl.in,86.111.242.221,Active
130-199-251-7.nat.bnl.ru,45.130.41.107,Active
130-199-251-8.nat.bnl.net,64.237.52.187,Active
130-199-251-8.nat.bnl.gov,130.199.251.8,Active
130-199-251-8.nat.bnl.de,103.224.182.245,Active
130-199-251-8.nat.bnl.cn,170.33.12.185,Active
130-199-251-8.nat.bnl.uk,"76.223.54.146, 13.248.169.48",Active
130-199-251-8.nat.bnl.us,103.224.182.238,Active
130-199-251-8.nat.bnl.icu,"47.91.170.222, 8.218.208.240, 47.76.127.217",Active
130-199-251-8.nat.bnl.in,86.111.242.221,Active
130-199-251-8.nat.bnl.ru,45.130.41.107,Active
130-199-251-9.nat.bnl.gov,130.199.251.9,Active
130-199-251-9.nat.bnl.net,64.237.52.187,Active
130-199-251-9.nat.bnl.cn,170.33.12.185,Active
130-199-251-9.nat.bnl.icu,"47.76.127.217, 47.91.170.222, 8.218.208.240",Active
130-199-251-9.nat.bnl.uk,"13.248.169.48, 76.223.54.146",Active
130-199-251-9.nat.bnl.in,86.111.242.221,Active
130-199-251-9.nat.bnl.us,103.224.182.238,Active
130-199-251-9.nat.bnl.ru,45.130.41.107,Active
130-199-251-9.nat.bnl.de,103.224.182.245,Active
acnmcrpc17.pbn.bnl.de,103.224.182.245,Active
acnmcrpc17.pbn.bnl.gov,130.199.106.21,Active
acnmcrpc17.pbn.bnl.net,64.237.52.187,Active
acnmcrpc17.pbn.bnl.uk,"76.223.54.146, 13.248.169.48",Active
acnmcrpc17.pbn.bnl.us,103.224.182.238,Active
acnmcrpc17.pbn.bnl.cn,170.33.12.185,Active
acnmcrpc17.pbn.bnl.in,86.111.242.221,Active
acnmcrpc17.pbn.bnl.ru,45.130.41.107,Active
acnmcrpc17.pbn.bnl.icu,"47.91.170.222, 8.218.208.240, 47.76.127.217",Active
acode-browser.usatlas.bnl.net,64.237.52.187,Active
acode-browser.usatlas.bnl.gov,198.125.209.12,Active
acode-browser.usatlas.bnl.cn,170.33.12.185,Active
acode-browser.usatlas.bnl.de,103.224.182.245,Active
acode-browser.usatlas.bnl.uk,"13.248.169.48, 76.223.54.146",Active
acode-browser.usatlas.bnl.in,86.111.242.221,Active
acode-browser.usatlas.bnl.us,103.224.182.238,Active
acode-browser.usatlas.bnl.icu,"8.218.208.240, 47.91.170.222, 47.76.127.217",Active
acode-browser.usatlas.bnl.ru,45.130.41.107,Active
acode-browser1.usatlas.bnl.gov,198.125.209.12,Active
acode-browser1.usatlas.bnl.de,103.224.182.245,Active
acode-browser1.usatlas.bnl.net,64.237.52.187,Active
acode-browser1.usatlas.bnl.us,103.224.182.238,Active
acode-browser1.usatlas.bnl.icu,"47.76.127.217, 47.91.170.222, 8.218.208.240",Active
acode-browser1.usatlas.bnl.uk,"76.223.54.146, 13.248.169.48",Active
acode-browser1.usatlas.bnl.in,86.111.242.221,Active
acode-browser1.usatlas.bnl.ru,45.130.41.107,Active
acode-browser1.usatlas.bnl.cn,170.33.12.185,Active
acode-browser2.usatlas.bnl.gov,198.125.209.12,Active
acode-browser2.usatlas.bnl.de,103.224.182.245,Active
acode-browser2.usatlas.bnl.net,64.237.52.187,Active
acode-browser2.usatlas.bnl.icu,"8.218.208.240, 47.91.170.222, 47.76.127.217",Active
acode-browser2.usatlas.bnl.in,86.111.242.221,Active
acode-browser2.usatlas.bnl.cn,170.33.12.185,Active
acode-browser2.usatlas.bnl.uk,"76.223.54.146, 13.248.169.48",Active
acode-browser2.usatlas.bnl.us,103.224.182.238,Active
acode-browser2.usatlas.bnl.ru,45.130.41.107,Active
adaptpc.bnl.gov,130.199.145.37,Active
adaptpc.bnl.de,103.224.182.245,Active
adaptpc.bnl.net,64.237.52.187,Active
adaptpc.bnl.in,86.111.242.221,Active
adaptpc.bnl.uk,"76.223.54.146, 13.248.169.48",Active
adaptpc.bnl.us,103.224.182.238,Active
adaptpc.bnl.icu,"8.218.208.240, 47.91.170.222, 47.76.127.217",Active
adaptpc.bnl.ru,45.130.41.107,Active
adaptpc.bnl.cn,170.33.12.185,Active
admingw00.sdcc.bnl.gov,130.199.57.9,Active
admingw00.sdcc.bnl.de,103.224.182.245,Active
admingw00.sdcc.bnl.net,64.237.52.187,Active
admingw00.sdcc.bnl.uk,"76.223.54.146, 13.248.169.48",Active
admingw00.sdcc.bnl.in,86.111.242.221,Active
admingw00.sdcc.bnl.us,103.224.182.238,Active
admingw00.sdcc.bnl.icu,"47.76.127.217, 47.91.170.222, 8.218.208.240",Active
admingw00.sdcc.bnl.cn,170.33.12.185,Active
admingw00.sdcc.bnl.ru,45.130.41.107,Active
admingw01.sdcc.bnl.gov,130.199.57.10,Active
admingw01.sdcc.bnl.net,64.237.52.187,Active
admingw01.sdcc.bnl.cn,170.33.12.185,Active
admingw01.sdcc.bnl.de,103.224.182.245,Active
admingw01.sdcc.bnl.uk,"76.223.54.146, 13.248.169.48",Active
admingw01.sdcc.bnl.us,103.224.182.238,Active
admingw01.sdcc.bnl.in,86.111.242.221,Active
admingw01.sdcc.bnl.icu,"47.76.127.217, 8.218.208.240, 47.91.170.222",Active
admingw01.sdcc.bnl.ru,45.130.41.107,Active
aiq-d4.itd.bnl.gov,130.199.4.29,Active
aiq-d4.itd.bnl.net,64.237.52.187,Active
aiq-d4.itd.bnl.de,103.224.182.245,Active
aiq-d4.itd.bnl.cn,170.33.12.185,Active
aiq-d4.itd.bnl.in,86.111.242.221,Active
aiq-d4.itd.bnl.uk,"76.223.54.146, 13.248.169.48",Active
aiq-d4.itd.bnl.us,103.224.182.238,Active
aiq-d4.itd.bnl.icu,"47.91.170.222, 47.76.127.217, 8.218.208.240",Active
aiq-d4.itd.bnl.ru,45.130.41.107,Active
aiq-p3.itd.bnl.de,103.224.182.245,Active
aiq-p3.itd.bnl.cn,170.33.12.185,Active
aiq-p3.itd.bnl.net,64.237.52.187,Active
aiq-p3.itd.bnl.in,86.111.242.221,Active
aiq-p3.itd.bnl.uk,"76.223.54.146, 13.248.169.48",Active
aiq-p3.itd.bnl.us,103.224.182.238,Active
aiq-p3.itd.bnl.icu,"47.91.170.222, 47.76.127.217, 8.218.208.240",Active
aiq-p3.itd.bnl.gov,130.199.3.28,Active
aiq-p3.itd.bnl.ru,45.130.41.107,Active
am0515-901-255.kbase.bnl.gov,130.199.255.36,Active
am0515-901-255.kbase.bnl.net,64.237.52.187,Active
am0515-901-255.kbase.bnl.de,103.224.182.245,Active
am0515-901-255.kbase.bnl.cn,170.33.12.185,Active
am0515-901-255.kbase.bnl.uk,"76.223.54.146, 13.248.169.48",Active
am0515-901-255.kbase.bnl.in,86.111.242.221,Active
am0515-901-255.kbase.bnl.us,103.224.182.238,Active
am0515-901-255.kbase.bnl.icu,"47.91.170.222, 47.76.127.217, 8.218.208.240",Active
am0515-901-255.kbase.bnl.ru,45.130.41.107,Active
am0515-901.s3.bnl.gov,130.199.3.124,Active
am0515-901.s3.bnl.net,64.237.52.187,Active
am0515-901.s3.bnl.de,103.224.182.245,Active
am0515-901.s3.bnl.in,86.111.242.221,Active
am0515-901.s3.bnl.uk,"76.223.54.146, 13.248.169.48",Active
am0515-901.s3.bnl.us,103.224.182.238,Active
am0515-901.s3.bnl.cn,170.33.12.185,Active
am0515-901.s3.bnl.ru,45.130.41.107,Active
am0515-901.s3.bnl.icu,"47.76.127.217, 8.218.208.240, 47.91.170.222",Active
ansible1-ext.nsls2.bnl.gov,192.203.218.21,Active
ansible2-ext.nsls2.bnl.gov,192.203.218.22,Active
ansible2-ext.nsls2.bnl.de,103.224.182.245,Active
ansible2-ext.nsls2.bnl.net,64.237.52.187,Active
ansible2-ext.nsls2.bnl.cn,170.33.12.185,Active
ansible2-ext.nsls2.bnl.icu,"8.218.208.240, 47.91.170.222, 47.76.127.217",Active
ansible2-ext.nsls2.bnl.in,86.111.242.221,Active
ansible2-ext.nsls2.bnl.uk,"76.223.54.146, 13.248.169.48",Active
ansible2-ext.nsls2.bnl.ru,45.130.41.107,Active
ansible2-ext.nsls2.bnl.us,103.224.182.238,Active
arpmon.sci-dmz.s161.bnl.net,64.237.52.187,Active
arpmon.sci-dmz.s161.bnl.de,103.224.182.245,Active
arpmon.sci-dmz.s161.bnl.gov,192.153.161.11,Active
arpmon.sci-dmz.s161.bnl.uk,"13.248.169.48, 76.223.54.146",Active
arpmon.sci-dmz.s161.bnl.us,103.224.182.238,Active
arpmon.sci-dmz.s161.bnl.in,86.111.242.221,Active
arpmon.sci-dmz.s161.bnl.cn,170.33.12.185,Active
arpmon.sci-dmz.s161.bnl.icu,"47.91.170.222, 47.76.127.217, 8.218.208.240",Active
arpmon.sci-dmz.s208-0.bnl.gov,198.125.208.4,Active
arpmon.sci-dmz.s208-0.bnl.net,64.237.52.187,Active
arpmon.sci-dmz.s208-0.bnl.de,103.224.182.245,Active
arpmon.sci-dmz.s161.bnl.ru,45.130.41.107,Active
arpmon.sci-dmz.s208-0.bnl.us,103.224.182.238,Active
arpmon.sci-dmz.s208-0.bnl.uk,"13.248.169.48, 76.223.54.146",Active
arpmon.sci-dmz.s208-0.bnl.in,86.111.242.221,Active
arpmon.sci-dmz.s208-0.bnl.icu,"47.91.170.222, 8.218.208.240, 47.76.127.217",Active
arpmon.sci-dmz.s208-0.bnl.cn,170.33.12.185,Active
arpmon.sci-dmz.s209-0.bnl.gov,198.125.209.4,Active
arpmon.sci-dmz.s209-0.bnl.net,64.237.52.187,Active
arpmon.sci-dmz.s208-0.bnl.ru,45.130.41.107,Active
arpmon.sci-dmz.s209-0.bnl.uk,"76.223.54.146, 13.248.169.48",Active
arpmon.sci-dmz.s209-0.bnl.us,103.224.182.238,Active
arpmon.sci-dmz.s209-0.bnl.icu,"47.91.170.222, 8.218.208.240, 47.76.127.217",Active
arpmon.sci-dmz.s209-0.bnl.in,86.111.242.221,Active
arpmon.sci-dmz.s209-0.bnl.cn,170.33.12.185,Active
arpmon.sci-dmz.s209-0.bnl.ru,45.130.41.107,Active
arpmon.sci-dmz.s209-0.bnl.de,103.224.182.245,Active
astein.em.bnl.gov,130.199.119.41,Active
astein.em.bnl.de,103.224.182.245,Active
astein.em.bnl.net,64.237.52.187,Active
astein.em.bnl.uk,"76.223.54.146, 13.248.169.48",Active
astein.em.bnl.us,103.224.182.238,Active
astein.em.bnl.in,86.111.242.221,Active
astein.em.bnl.cn,170.33.12.185,Active
astein.em.bnl.ru,45.130.41.107,Active
astein.em.bnl.icu,"8.218.208.240, 47.76.127.217, 47.91.170.222",Active
atlas-hllhc.docdb.bnl.de,103.224.182.245,Active
atlas-hllhc.docdb.bnl.gov,130.199.22.180,Active
atlas-hllhc.docdb.bnl.net,64.237.52.187,Active
atlas-hllhc.docdb.bnl.uk,"76.223.54.146, 13.248.169.48",Active
atlas-hllhc.docdb.bnl.us,103.224.182.238,Active
atlas-hllhc.docdb.bnl.icu,"47.76.127.217, 47.91.170.222, 8.218.208.240",Active
atlas-hllhc.docdb.bnl.in,86.111.242.221,Active
atlas-hllhc.docdb.bnl.cn,170.33.12.185,Active
atlas-hllhc.docdb.bnl.ru,45.130.41.107,Active
auth.sdcc.bnl.de,103.224.182.245,Active
auth.sdcc.bnl.gov,198.125.209.12,Active
auth.sdcc.bnl.net,64.237.52.187,Active
auth.sdcc.bnl.icu,"8.218.208.240, 47.91.170.222, 47.76.127.217",Active
auth.sdcc.bnl.cn,170.33.12.185,Active
auth.sdcc.bnl.in,86.111.242.221,Active
auth.sdcc.bnl.uk,"76.223.54.146, 13.248.169.48",Active
auth.sdcc.bnl.us,103.224.182.238,Active
auth.sdcc.bnl.ru,45.130.41.107,Active
balancer-ext.nsls2.bnl.gov,"192.203.218.39, 192.203.218.23",Active
balancer-ext.nsls2.bnl.de,103.224.182.245,Active
balancer-ext.nsls2.bnl.net,64.237.52.187,Active
balancer-ext.nsls2.bnl.cn,170.33.12.185,Active
balancer-ext.nsls2.bnl.in,86.111.242.221,Active
balancer-ext.nsls2.bnl.uk,"76.223.54.146, 13.248.169.48",Active
balancer-ext.nsls2.bnl.us,103.224.182.238,Active
balancer-ext.nsls2.bnl.ru,45.130.41.107,Active
balancer-ext.nsls2.bnl.icu,"47.91.170.222, 8.218.208.240, 47.76.127.217",Active
balancer-tiled-ext.nsls2.bnl.gov,"192.203.218.28, 192.203.218.41",Active
balancer1-ext.nsls2.bnl.net,64.237.52.187,Active
balancer1-ext.nsls2.bnl.gov,192.203.218.24,Active
balancer1-ext.nsls2.bnl.de,103.224.182.245,Active
balancer1-ext.nsls2.bnl.cn,170.33.12.185,Active
balancer1-ext.nsls2.bnl.uk,"13.248.169.48, 76.223.54.146",Active
balancer1-ext.nsls2.bnl.us,103.224.182.238,Active
balancer1-ext.nsls2.bnl.in,86.111.242.221,Active
balancer1-ext.nsls2.bnl.ru,45.130.41.107,Active
balancer1-ext.nsls2.bnl.icu,"47.76.127.217, 47.91.170.222, 8.218.208.240",Active
balancer1-tiled-ext.nsls2.bnl.de,103.224.182.245,Active
balancer1-tiled-ext.nsls2.bnl.gov,192.203.218.29,Active
balancer1-tiled-ext.nsls2.bnl.net,64.237.52.187,Active
balancer1-tiled-ext.nsls2.bnl.cn,170.33.12.185,Active
balancer1-tiled-ext.nsls2.bnl.icu,"47.76.127.217, 47.91.170.222, 8.218.208.240",Active
balancer1-tiled-ext.nsls2.bnl.uk,"76.223.54.146, 13.248.169.48",Active
balancer1-tiled-ext.nsls2.bnl.in,86.111.242.221,Active
balancer1-tiled-ext.nsls2.bnl.us,103.224.182.238,Active
balancer1-tiled-ext.nsls2.bnl.ru,45.130.41.107,Active
balancer2-ext.nsls2.bnl.gov,192.203.218.25,Active
balancer2-ext.nsls2.bnl.cn,170.33.12.185,Active
balancer2-ext.nsls2.bnl.net,64.237.52.187,Active
balancer2-ext.nsls2.bnl.icu,"47.76.127.217, 8.218.208.240, 47.91.170.222",Active
balancer2-ext.nsls2.bnl.in,86.111.242.221,Active
balancer2-ext.nsls2.bnl.uk,"13.248.169.48, 76.223.54.146",Active
balancer2-ext.nsls2.bnl.us,103.224.182.238,Active
balancer2-ext.nsls2.bnl.ru,45.130.41.107,Active
balancer2-ext.nsls2.bnl.de,103.224.182.245,Active
balancer2-tiled-ext.nsls2.bnl.gov,192.203.218.30,Active
balancer2-tiled-ext.nsls2.bnl.de,103.224.182.245,Active
balancer2-tiled-ext.nsls2.bnl.net,64.237.52.187,Active
