domain,spf_status,spf_record,dmarc_status,dmarc_record,dkim_status,dkim_selectors,dkim_records
130-199-251-5.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-9.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
acnmcrpc17.pbn.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-7.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-9.nat.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
acnmcrpc17.pbn.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
acnmcrpc17.pbn.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
acode-browser.usatlas.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
130-199-251-6.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-8.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
acnmcrpc17.pbn.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
acnmcrpc17.pbn.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-6.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-6.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
acode-browser.usatlas.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-7.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
acode-browser.usatlas.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-7.nat.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
acode-browser1.usatlas.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
acode-browser.usatlas.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-8.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-7.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-8.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-9.nat.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
acode-browser1.usatlas.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-8.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
acode-browser1.usatlas.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
acode-browser2.usatlas.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
acode-browser1.usatlas.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
acode-browser.usatlas.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
acode-browser2.usatlas.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-9.nat.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
acode-browser2.usatlas.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
130-199-251-9.nat.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
acode-browser2.usatlas.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
acode-browser1.usatlas.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-9.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
adaptpc.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
adaptpc.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
acode-browser2.usatlas.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
acode-browser.usatlas.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
acnmcrpc17.pbn.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
adaptpc.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
acode-browser.usatlas.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
adaptpc.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
admingw00.sdcc.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
admingw00.sdcc.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
acnmcrpc17.pbn.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
acode-browser1.usatlas.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
adaptpc.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
admingw00.sdcc.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
130-199-251-7.nat.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
acnmcrpc17.pbn.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
admingw01.sdcc.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
admingw00.sdcc.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
acode-browser2.usatlas.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
admingw01.sdcc.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
acode-browser.usatlas.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
admingw00.sdcc.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
aiq-d4.itd.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
acode-browser1.usatlas.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
acode-browser.usatlas.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
acnmcrpc17.pbn.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
adaptpc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
admingw01.sdcc.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
acode-browser1.usatlas.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
acode-browser1.usatlas.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
admingw01.sdcc.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
admingw01.sdcc.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
acode-browser2.usatlas.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
aiq-d4.itd.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
aiq-p3.itd.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
aiq-d4.itd.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
admingw00.sdcc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
aiq-d4.itd.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
aiq-d4.itd.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
aiq-p3.itd.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
acode-browser2.usatlas.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
aiq-p3.itd.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
acode-browser2.usatlas.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
aiq-p3.itd.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
aiq-p3.itd.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
am0515-901-255.kbase.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
admingw01.sdcc.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
am0515-901-255.kbase.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
adaptpc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
aiq-d4.itd.bnl.in,missing or invalid,,missing or invalid,,no valid records,,
am0515-901-255.kbase.bnl.uk,missing or invalid,,missing or invalid,,no valid records,,
am0515-901.s3.bnl.net,valid,v=spf1 ip4:167.206.4.202 ip4:108.61.80.222 ip4:66.55.146.162 ip4:64.237.52.187 ip4:173.199.116.210 ip4:96.56.219.250 ~all,missing or invalid,,no valid records,,
am0515-901-255.kbase.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
adaptpc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
admingw00.sdcc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
admingw01.sdcc.bnl.cn,missing or invalid,,missing or invalid,,no valid records,,
admingw01.sdcc.bnl.ru,missing or invalid,,missing or invalid,,no valid records,,
adaptpc.bnl.icu,missing or invalid,,missing or invalid,,no valid records,,
am0515-901-255.kbase.bnl.us,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
am0515-901.s3.bnl.de,valid,v=spf1 ip6:fdcf:abda:4154::/48 -all,missing or invalid,,no valid records,,
am0515-901.s3.bnl.gov,missing or invalid,,missing or invalid,,no valid records,,
